year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,run_avg_pace,run_deg_rate
2018,8,GAS,108.159,98.317,13.918689,2,9.842,27.727,34.2495,46.1825,24.063,32.081,42.173,108.159,0.09130902255639098
2018,8,PER,106.9015,99.641,10.267897,2,7.2605,25.327,35.129,46.4455,25.304,32.046,42.291,106.9015,0.09130902255639098
2018,8,ALO,96.365,96.365,0.0,1,0.0,24.393,29.099,42.873,24.393,29.099,42.873,96.365,0.09130902255639098
2018,8,LEC,95.012,95.012,0.0,1,0.0,23.704,29.031,42.277,23.704,29.031,42.277,95.012,0.09130902255639098
2018,8,STR,122.399,122.399,0.0,1,0.0,30.891,38.761,52.747,30.891,38.761,52.747,122.399,0.09130902255639098
2018,8,OCO,105.6585,100.087,7.87929,2,5.5715,27.837,35.4185,42.403,25.48,32.606,42.001,105.6585,0.09130902255639098
2018,8,SIR,124.093,124.093,0.0,1,0.0,31.911,37.563,54.619,31.911,37.563,54.619,124.093,0.09130902255639098
2018,8,HAM,100.743,100.743,0.0,1,0.0,26.954,32.895,40.894,26.954,32.895,40.894,100.743,0.09130902255639098
2018,8,SAI,94.953,94.953,0.0,1,0.0,23.721,29.044,42.188,23.721,29.044,42.188,94.953,0.09130902255639098
2018,8,BOT,93.666,93.666,0.0,1,0.0,23.35,29.077,41.239,23.35,29.077,41.239,93.666,0.09130902255639098
2018,9,VAN,95.2955,67.975,38.637021,2,27.3205,19.7615,35.926,39.608,16.596,29.032,22.347,95.2955,-0.018345960729545953
2018,9,RIC,82.405571,64.891,16.804534,7,17.514571,20.676142,36.429571,25.299857,16.483,28.673000000000002,19.675,82.405571,-0.018345960729545953
2018,9,VET,74.754333,64.07,14.154708,9,10.684333,18.484222,32.719,23.551111,16.289,28.216,19.508,74.754333,-0.018345960729545953
2018,9,RAI,74.6319,64.47,9.426637,10,10.1619,18.1455,32.2699,24.2165,16.225,28.342,19.816,74.6319,-0.018345960729545953
2018,9,GRO,84.6724,64.916,19.372718,5,19.7564,20.8872,35.5988,28.1864,16.428,28.642,19.638,84.6724,-0.018345960729545953
2018,9,ERI,85.5522,65.699,20.698995,10,19.8532,20.4571,37.217,27.8781,16.622,29.0,19.975,85.5522,-0.018345960729545953
2018,9,GAS,77.258636,65.264,12.459915,11,11.994636,18.186545,33.958181,25.113909,16.487,28.787,19.975,77.258636,-0.018345960729545953
2018,9,PER,78.641454,65.502,10.601832,11,13.139454,18.459545,34.427363,25.754545,16.443,28.772,20.255,78.641454,-0.018345960729545953
2018,9,ALO,80.0422,65.448,17.309524,5,14.5942,19.1102,33.8908,27.0412,16.594,28.807,20.036,80.0422,-0.018345960729545953
2018,9,LEC,75.8203,65.219,10.628604,10,10.6013,18.0987,33.7563,23.9653,16.438,28.784,19.957,75.8203,-0.018345960729545953
2018,9,STR,73.498166,66.029,7.499206,12,7.469166,17.524333,32.216416,23.757416,16.621,29.229,20.154,73.498166,-0.018345960729545953
2018,9,MAG,82.726166,65.013,20.898905,6,17.713166,19.732833,33.826333,29.167,16.444,28.668,19.803,82.726166,-0.018345960729545953
2018,9,HUL,82.373428,65.228,23.884022,7,17.145428,18.554714,34.235857,29.582857,16.439,28.66,20.129,82.373428,-0.018345960729545953
2018,9,HAR,80.266,65.705,16.352511,9,14.561,19.051777,34.119222,27.095,16.507,29.034,20.025,80.266,-0.018345960729545953
2018,9,OCO,76.325125,65.444,10.280144,8,10.881125,18.5905,32.916125,24.8185,16.389,28.929,20.126,76.325125,-0.018345960729545953
2018,9,VER,78.956666,64.791,12.193912,6,14.165666,19.239666,36.320666,23.396333,16.413,28.535,19.762,78.956666,-0.018345960729545953
2018,9,SIR,76.6415,66.318,11.12031,10,10.3235,18.2034,35.0343,23.4038,16.623,29.216,20.262,76.6415,-0.018345960729545953
2018,9,HAM,82.1418,64.099,14.224298,5,18.0428,18.6044,36.42,27.1174,16.337,28.399,19.363,82.1418,-0.018345960729545953
2018,9,SAI,73.782545,65.086,10.758571,11,8.696545,18.373636,33.057636,22.351272,16.358,28.718,20.01,73.782545,-0.018345960729545953
2018,9,BOT,77.031555,64.204,14.468842,9,12.827555,18.689444,33.251444,25.090666,16.271,28.513,19.382,77.031555,-0.018345960729545953
2018,10,VAN,108.901272,90.004,21.536082,11,18.897272,33.017181,45.081545,30.802545,28.896,36.367,24.585,108.901272,0.0200594820467632
2018,10,RIC,106.8646,88.018,23.644075,10,18.8466,33.3022,43.9834,29.579,28.259,35.699,24.06,106.8646,0.0200594820467632
2018,10,VET,87.851,87.851,0.0,1,0.0,28.194,35.599,24.058,28.194,35.599,24.058,87.851,0.0200594820467632
2018,10,RAI,98.5555,86.815,14.618712,4,11.7405,30.59125,39.58475,28.3795,27.883,35.145,23.787,98.5555,0.0200594820467632
2018,10,GRO,100.805555,88.554,16.530091,9,12.251555,31.412333,41.032888,28.360333,28.36,35.644,24.315,100.805555,0.0200594820467632
2018,10,ERI,109.1254,88.814,26.245294,10,20.3114,33.3828,46.4942,29.2484,28.392,35.801,24.493,109.1254,0.0200594820467632
2018,10,PER,108.632,89.066,24.564946,10,19.566,34.2286,45.2024,29.201,28.493,36.203,24.33,108.632,0.0200594820467632
2018,10,ALO,107.560181,89.07,18.320142,11,18.490181,32.890272,43.420272,31.249636,28.511,36.075,24.428,107.560181,0.0200594820467632
2018,10,LEC,110.853583,88.146,23.960159,12,22.707583,35.01975,46.1075,29.726333,28.103,35.693,24.35,110.853583,0.0200594820467632
2018,10,STR,108.258666,89.829,23.332124,9,18.429666,32.729555,44.305,31.224111,28.508,36.594,24.727,108.258666,0.0200594820467632
2018,10,MAG,112.994272,88.418,27.879905,11,24.576272,34.425727,47.877909,30.690636,28.319,35.591,24.308,112.994272,0.0200594820467632
2018,10,HUL,105.877285,89.094,20.221988,7,16.783285,33.166428,42.867142,29.843714,28.406,36.147,24.451,105.877285,0.0200594820467632
2018,10,OCO,111.7709,88.917,25.208438,10,22.8539,33.8702,48.2534,29.6473,28.485,36.131,24.26,111.7709,0.0200594820467632
2018,10,VER,101.07525,88.012,16.134322,12,13.06325,31.643,40.955333,28.476916,28.145,35.659,24.208,101.07525,0.0200594820467632
2018,10,SIR,104.470444,89.984,22.390863,9,14.486444,31.990111,43.14,29.340333,28.66,36.488,24.699,104.470444,0.0200594820467632
2018,10,HAM,111.36225,86.722,26.187703,8,24.64025,33.3805,46.70575,31.276,27.835,35.068,23.819,111.36225,0.0200594820467632
2018,10,SAI,108.462,89.133,20.300967,10,19.329,33.1332,45.6459,29.6829,28.46,36.035,24.638,108.462,0.0200594820467632
2018,10,BOT,109.350444,87.364,21.464793,9,21.986444,32.458555,44.313888,32.578,28.038,35.361,23.965,109.350444,0.0200594820467632
2018,11,VET,99.160333,95.573,5.835693,3,3.587333,21.438666,47.091,30.630666,21.23,43.742,30.278,99.160333,0.04504435483870973
2018,11,RAI,101.64,97.755,5.494219,2,3.885,22.7395,46.9485,31.951999999999998,22.069,44.663,31.023,101.64,0.04504435483870973
2018,11,ERI,97.2205,95.0,2.233904,6,2.2205,21.567833,44.848,30.804666,21.146,43.67,30.184,97.2205,0.04504435483870973
2018,11,GAS,103.285,95.659,7.432239,3,7.626,21.356,49.014666,32.914333,21.312,43.95,30.348,103.285,0.04504435483870973
2018,11,LEC,100.2084,94.577,8.344358,5,5.6314,22.495,47.2174,30.496,20.737,43.33,29.879,100.2084,0.04504435483870973
2018,11,STR,99.905,98.393,1.3772929999999999,3,1.512,22.511,45.599,31.795,21.784,44.297,31.608,99.905,0.04504435483870973
