year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,quali_clean_laps
2018,6,LEC,84.706454,72.714,13.694731,11,11.992454,22.40009,39.811909,22.494454,19.185,34.105,19.34,11
2018,6,GRO,83.243083,72.728,12.832272,12,10.515083,21.046416,38.77625,23.420416,19.16,34.035,19.373,12
2018,6,HAR,84.901857,73.179,11.65587,7,11.722857,22.2,39.621,23.080857,19.25,34.343,19.532,7
2018,6,ERI,88.127166,73.265,16.122473,6,14.862166,22.619833,42.293166,23.214166,19.346,34.324,19.595,6
2018,6,STR,87.5192,73.323,12.799752,5,14.1962,22.3906,39.6838,25.4448,19.106,34.464,19.631,5
2018,6,MAG,83.319571,73.393,12.983059,7,9.926571,21.308714,38.795428,23.215428,19.362,34.441,19.491,7
2018,7,VET,71.021333,70.764,0.435363,3,0.257333,19.562666,22.730666,28.728,19.48,22.626,28.57,3
2018,7,BOT,77.023666,70.857,12.248044,6,6.166666,20.564,23.876666,32.583,19.423,22.693,28.689,6
2018,7,VER,71.435,70.937,0.578588,4,0.498,19.58775,22.76925,29.078,19.42,22.695,28.802,4
2018,7,HAM,78.2106,70.996,14.618038,5,7.2146,20.6236,23.6542,33.9328,19.43,22.696,28.869,5
2018,7,RAI,74.9796,71.095,7.267982,5,3.8846,20.819,23.8818,30.2788,19.638,22.671,28.745,5
2018,7,RIC,71.4165,71.116,0.307738,4,0.3005,19.64325,22.76575,29.0075,19.523,22.672,28.921,4
2018,7,HUL,72.112,71.916,0.277184,4,0.196,20.0445,23.03375,29.03375,19.922,22.954,28.924,4
2018,7,OCO,72.175,72.084,0.111941,3,0.091,19.997666,23.164,29.013333,19.93,23.11,28.946,3
2018,7,SAI,72.23825,72.097,0.152451,4,0.14125,19.98925,23.0005,29.2485,19.901,22.951,29.159,4
2018,7,PER,72.533,72.395,0.195161,2,0.138,20.0015,23.1805,29.351,19.934,23.127,29.199,2
